ID^COLLECTION_ID^C_NAME^C_REG_DOC_SER^C_REG_DOC_NUMB^C_DATE^C_REG_DOC_DATE^C_INSPECTOR
140126888366^140126883132^6986495496^23^001915470^12.03.04^12.03.04^   Наина Аскольдовна Осипова
140506708282^140506701526^15208663^^317110100007253^16.03.17^16.03.17^Пелагея Ниловна Русакова
140045258442^140045127306^44220082^77^007103095^11.07.02^^Клавдия Романовна Ефимова
140157135509^140157066379^853217222^34^000524836^27.03.01^27.03.01^Бурова Екатерина Сергеевна
140192673662^140192623933^15256363^77^017380150^01.11.16^01.11.16^Кудрявцев Валентин Димитриевич
140507096281^140507096212^15258063^86^000494342^09.10.01^09.10.01^Синклитикия Юльевна Мясникова
140117485510^140117479946^15208663^11^000369349^27.12.06^27.12.06^Комаров Афанасий Игнатович
140539086844^140539086726^15208663^11^001264047^29.09.05^29.09.05^Варлаам Ильич Кудряшов
140357183561^140357072240^15256103^77^017095302^14.12.16^14.12.16^Елизар Харлампович Зуев
140386864568^140386803840^15256083^77^017432497^21.11.16^21.11.16^Иванна Аркадьевна Константинова
140443087738^140443071374^15256543^77^017384692^27.10.16^03.02.17^Агафья Богдановна Молчанова
140479316149^140479256804^15256183^^^01.02.17^01.02.17^Агата Юрьевна Горшкова
140538605768^140538605694^853203638^11^002127175^28.08.01^28.08.01^Лора Ефимовна Артемьева
140322395177^140322380709^15258063^86^000000^11.01.17^^Журавлева Вероника Тимофеевна
